check	status	detail
mask exact count/hash P01/33	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/33	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 33	PASS	frozen generator delegate
P01 canonical truth 33	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 33	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 33	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/33	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/33	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/33	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/34	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/34	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/34	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/34	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 34	PASS	frozen generator delegate
P01 canonical truth 34	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 34	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 34	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/34	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/34	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/34	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/35	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/35	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/35	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/35	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 35	PASS	frozen generator delegate
P01 canonical truth 35	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 35	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 35	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/35	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/35	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/35	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/36	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/36	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/36	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/36	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 36	PASS	frozen generator delegate
P01 canonical truth 36	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 36	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 36	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/36	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/36	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/36	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/37	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/37	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/37	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/37	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 37	PASS	frozen generator delegate
P01 canonical truth 37	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 37	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 37	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/37	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/37	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/37	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/38	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/38	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/38	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/38	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 38	PASS	frozen generator delegate
P01 canonical truth 38	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 38	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 38	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/38	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/38	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/38	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/39	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/39	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/39	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/39	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 39	PASS	frozen generator delegate
P01 canonical truth 39	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 39	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 39	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/39	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/39	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/39	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/40	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/40	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/40	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/40	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 40	PASS	frozen generator delegate
P01 canonical truth 40	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 40	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 40	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/40	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/40	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/40	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/41	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/41	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/41	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/41	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 41	PASS	frozen generator delegate
P01 canonical truth 41	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 41	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 41	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/41	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/41	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/41	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/42	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/42	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/42	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/42	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 42	PASS	frozen generator delegate
P01 canonical truth 42	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 42	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 42	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/42	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/42	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/42	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/43	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/43	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/43	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/43	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 43	PASS	frozen generator delegate
P01 canonical truth 43	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 43	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 43	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/43	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/43	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/43	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/44	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/44	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/44	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/44	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 44	PASS	frozen generator delegate
P01 canonical truth 44	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 44	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 44	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/44	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/44	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P01/44	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P01/45	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P01/45	PASS	cell id intentionally excluded from seed
mask exact count/hash P01/45	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P01/45	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
P01 canonical bitwise signal 45	PASS	frozen generator delegate
P01 canonical truth 45	PASS	addendum 5.2: scenario/effect/gain fields
P01 canonical support event table 45	PASS	addendum 5.2: per-pair analysis support events
P01 canonical subject matrix/p/counts 45	PASS	addendum 5.2: canonical-world Mpower subject matrix, exact sign-flip p, pair counts vs stored
pair diagnostic schema P01/45	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P01/45	PASS	wrapper metadata equals canonical null world
